url,name,5,4,3,2,1,total
https://www.amazon.com/adidas-Womens-Racer-Running-Silver/dp/B08JMDLPXX/ref=sr_1_44?keywords=sneakers&qid=1638028632&sr=8-44#customerReviews,adidas Women's Racer TR21 Running Shoe,66%,27%,0%,7%,0%,19
https://www.amazon.com/Under-Armour-Pursuit-Alternate-Closure/dp/B07Q13FYW7/ref=sr_1_45?keywords=sneakers&qid=1638028632&sr=8-45#customerReviews,Under Armour Unisex-Child Pre School Pursuit 2 Alternative Closure Sneaker,80%,11%,4%,1%,3%,2729
https://www.amazon.com/Dr-Scholls-Womens-Slip-Ons-Loafer/dp/B07YVSTFWM/ref=sr_1_46?keywords=sneakers&qid=1638028632&sr=8-46#customerReviews,Dr. Scholl's Shoes Women's Nova Sneaker,68%,13%,8%,4%,8%,1594
https://www.amazon.com/adidas-Mens-Hoops-Sneaker-Black/dp/B07S8NJQMW/ref=sr_1_47?keywords=sneakers&qid=1638028632&sr=8-47#customerReviews,adidas Men's Hoops 2.0 Mid Sneaker,73%,13%,6%,3%,4%,1679
https://www.amazon.com/Nike-ZERO-ESSENTIAL-running-shoes-876070-100_9-5/dp/B0032TCEH8/ref=sr_1_48?keywords=sneakers&qid=1638028632&sr=8-48#customerReviews,Nike Men's Air Max Zero BR Running Shoe,77%,11%,5%,2%,4%,406
https://www.amazon.com/PUMA-Womens-Sneaker-White-Gulf-Stream/dp/B07TQ7DKFL/ref=sr_1_49?keywords=sneakers&qid=1638028632&sr=8-49#customerReviews,PUMA Women's Riaze Prowl Sneaker,77%,12%,5%,3%,4%,1955
https://www.amazon.com/Steve-Madden-Womens-Smack-Sneaker/dp/B098CYZFC5/ref=sr_1_50?keywords=sneakers&qid=1638028632&sr=8-50#customerReviews,Steve Madden Women's Smack Sneaker,0%,0%,100%,0%,0%,1
https://www.amazon.com/Naturalizer-Womens-Morrison-Fashion-Sneaker/dp/B005BIZ8NA/ref=sr_1_51?keywords=sneakers&qid=1638028632&sr=8-51#customerReviews,Naturalizer Women's Morrison Fashion Sneaker,73%,14%,6%,3%,5%,865
https://www.amazon.com/New-Balance-Womens-WW577-Walking/dp/B004E8XSXA/ref=sr_1_52?keywords=sneakers&qid=1638028632&sr=8-52#customerReviews,New Balance Women's 577 V1 Hook and Loop Walking Shoe,64%,14%,9%,4%,9%,3856
https://www.amazon.com/Under-Armour-Street-Encounter-Heeled/dp/B07YXZ78CL/ref=sr_1_53?keywords=sneakers&qid=1638028632&sr=8-53#customerReviews,Under Armour Men's Street Encounter Iv CNV,77%,14%,5%,1%,2%,2618
https://www.amazon.com/adidas-Womens-Edge-Running-White/dp/B08N5F9LW8/ref=sr_1_54?keywords=sneakers&qid=1638028632&sr=8-54#customerReviews,adidas womens Edge Lux 4 Running Shoe,61%,14%,14%,6%,4%,154
https://www.amazon.com/Steve-Madden-womens-Click-Sneaker/dp/B08B47DRJK/ref=sr_1_55?keywords=sneakers&qid=1638028632&sr=8-55#customerReviews,Steve Madden Women's Click Sneaker,73%,13%,6%,4%,4%,295
