url,name,5,4,3,2,1,total
https://www.amazon.com/HP-14-inch-Celeron-Personal-14-cb188nr/dp/B084SCJY1J/ref=sr_1_18?keywords=laptop&qid=1638026255&sr=8-18#customerReviews,HP Stream 14-Inch Laptop Intel Celeron N4000 4 GB RAM 64 GB eMMC Windows 10 Home in S Mode With Office 365 Personal For 1 Year (14-cb188nr Rose Pink),74%,14%,6%,2%,4%,4803
https://www.amazon.com/HP-Bussiness-i5-1115G4-Windows-Accessories/dp/B0993FQWKT/ref=sr_1_19?keywords=laptop&qid=1638026255&sr=8-19#customerReviews,2021 Newest HP 17.3 FHD Bussiness Laptop Intel 11th Gen Core i5-1115G4 Up to 4.2GHz 16GB DDR4 RAM 512GB SSD WiFi HDMI Webcam Windows 10 Natural Silver w/GM Accessories,86%,8%,0%,0%,6%,18
https://www.amazon.com/HP-Chromebook-Micro-Edge-Portable-14a-na0024nr/dp/B09886Q4PW/ref=sr_1_20?keywords=laptop&qid=1638026255&sr=8-20#customerReviews,HP Chromebook 14 Laptop Intel Celeron N4020 4 GB RAM 32 GB eMMC 14” HD Micro-Edge Display Chrome OS Thin & Portable 4K Graphics Backlit Ash Gray Keyboard (14a-na0024nr 2021 Mineral Silver),73%,14%,6%,2%,6%,3008
https://www.amazon.com/Acer-AN517-54-77KG-i7-11800H-GeForce-Keyboard/dp/B092YDGD9B/ref=sr_1_21?keywords=laptop&qid=1638026255&sr=8-21#customerReviews,"Acer Nitro 5 AN517-54-77KG Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",81%,12%,2%,1%,4%,5032
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05907382Q4ZWDO5K4E2T&url=%2FMicrophone-110-Degree-Widescreen-Streaming-Conferencing%2Fdp%2FB084ZJFNKN%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-22-spons%26psc%3D1&qualifier=1638026255&id=8535637135162003&widgetName=sp_btf#customerReviews,Webcam HD 1080p Web Camera USB PC Computer Webcam with Microphone Laptop Desktop Full HD Camera Video Webcam 110 Degree Widescreen Pro Streaming Webcam for Recording Calling Conferencing Gaming,62%,18%,9%,4%,7%,14830
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A093063829GH305XKLFUL&url=%2FLenovo-Chromebook-11-6-Inch-Processor-82HG0006US%2Fdp%2FB08T6N424Z%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026371%26sr%3D8-17-spons%26psc%3D1&qualifier=1638026371&id=7227113810181914&widgetName=sp_atf_next#customerReviews,"Lenovo Chromebook Flex 3 11"" Laptop 11.6-Inch HD (1366 x 768) IPS Display MediaTek MT8173C Processor 4GB LPDDR3 64 GB eMMC Chrome OS 82HG0006US Blizzard White",61%,13%,6%,3%,16%,725
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A026639931O94CWVBKN4W&url=%2FLaptop-Computers-14-Inch-Windows-10-Notebook%2Fdp%2FB0911RTS7K%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026371%26sr%3D8-18-spons%26psc%3D1%26smid%3DA1D7KOH7G477XD&qualifier=1638026371&id=7227113810181914&widgetName=sp_atf_next#customerReviews,Winnovo Laptop Computers 14-Inch Windows-10 Notebook - WinBook K146 Intel Celeron Processor 6GB RAM 64GB ROM FHD IPS Display 5G WiFi HDMI (Silver),50%,13%,17%,6%,14%,181
https://www.amazon.com/LG-Gram-14T90P-Lightweight-Thunderbolt/dp/B08SYJ8Y8C/ref=sr_1_19?keywords=laptop&qid=1638026371&sr=8-19#customerReviews,"LG Gram 14T90P - 14"" WUXGA (1920x1200) 2-in-1 Lightweight Touch Display Laptop Intel evo with 11th gen Core i7 1165G7 CPU  16GB RAM 1TB SSD 24.5 Hours Battery Thunderbolt 4 Black - 2021",100%,0%,0%,0%,0%,1
https://www.amazon.com/ThinkPad-E15-1920x1080-i7-10510U-Business/dp/B0888WWHP7/ref=sr_1_21?keywords=laptop&qid=1638026371&sr=8-21#customerReviews,"OEM Lenovo ThinkPad E15 Silver 15.6"" FHD Display 1920x1080 IPS Intel Quad Core i7-10510U 16GB RAM 500GB SSD Fingerprint W10P Business Laptop",77%,10%,6%,1%,6%,156
https://www.amazon.com/HP-1366x768-Dual-Core-Processor-Bluetooth/dp/B08F3TNHFJ/ref=sr_1_22?keywords=laptop&qid=1638026371&sr=8-22#customerReviews,HP Stream 14 inches HD(1366x768) Display Intel Celeron N4000 Dual-Core Processor 4GB RAM 64GB eMMC HDMI WiFi Webcam Bluetooth Win10 S Royal Blue(Renewed),75%,11%,8%,2%,5%,442
