name,excellent,very_good,average,poor,terrible
Citadines Islington London,32,4,2,1,0
Middle Eight,34,1,5,1,1
Mowbray Court Hotel,190,325,153,65,68
Ibis London Stratford,242,480,207,62,45
Premier Inn London Lewisham Hotel,372,149,41,17,22
Comfotel Prpl,171,52,27,17,27
Holiday Inn Express London - Hammersmith an IHG hotel,532,627,162,31,24
The Columbia,245,531,336,88,55
Conrad London St. James,4019,761,180,69,50
Ashburn Hotel,591,450,109,30,14
DoubleTree by Hilton Hotel London - Ealing,1050,854,296,91,58
The Caesar Hotel,1182,1067,362,124,90
No. 5 Maddox Street,160,57,12,5,7
DoubleTree by Hilton London Kensington,1853,1209,271,70,63
Simply Rooms & Suites,94,113,46,19,25
K+K Hotel George,2870,1574,331,77,40
One Aldwych,192,8,3,2,0
Travelodge London Greenwich High Road,364,246,137,88,88
Point A Hotel - London Paddington,1610,1430,379,111,69
OYO Anchor Hotel,77,104,25,16,7
Premier Inn London Hanger Lane Hotel,1378,685,156,47,49
Euro Hotel Hammersmith,111,26,14,10,20
Falcon Hotel,129,209,91,34,32
Holiday Inn Express London - Earl's Court an IHG hotel,576,991,272,49,28
The Hari,1346,201,46,9,6
Chiltern Firehouse,72,23,9,12,14
45 Park Lane - Dorchester Collection,173,27,9,1,0
The Standard London,181,25,17,9,8
The Gate,254,14,3,0,2
Vintry & Mercer,629,83,15,3,4
Holmes Hotel London,213,20,6,2,4
Pan Pacific London,72,3,0,0,0
Great Scotland Yard Hotel,325,15,9,1,3
Hampton by Hilton London Waterloo,2032,1425,317,77,56
The Marylebone,3745,982,224,54,41
Staybridge Suites London - Vauxhall an IHG hotel,1061,200,29,9,5
St. Ermin's Hotel Autograph Collection,4886,1609,313,106,54
The Resident Covent Garden,770,41,4,1,1
The Mayfair Townhouse,152,9,3,1,4
Batty Langley's,308,27,7,3,1
Premier Inn London Blackfriars (Fleet Street) hotel,3355,1766,417,119,88
The Resident Victoria,1777,323,42,15,3
Premier Inn London City Aldgate hotel,1852,825,148,39,41
London Marriott Hotel County Hall,1977,892,359,154,106
Roseate House London,1611,457,107,41,20
The Lilac Door,226,5,0,0,1
Templeton Place by Supercity Aparthotels,256,48,1,2,3
Point A Hotel London Canary Wharf,1593,823,165,55,25
Citadines South Kensington London,593,449,109,45,27
Grand Residences by Marriott - Mayfair-London,154,20,5,2,3
Holiday Inn Express London - Park Royal an IHG hotel,427,532,136,32,28
The London EDITION,1147,281,84,39,33
Cheval Knightsbridge,197,25,6,1,5
The Prince Akatoki London,107,9,4,2,2
Ibis London Earls Court,971,2710,1380,302,188
Montcalm Royal London House - City of London,2226,265,75,29,14
Travelodge London Central City Road,634,599,297,122,139
Mandarin Oriental Hyde Park London,250,14,10,6,2
Haymarket Hotel,853,104,20,7,2
The Guardsman,23,0,1,0,0
Holiday Inn London - West an IHG hotel,687,357,111,46,32
Premier Inn London Farringdon (Smithfield) hotel,555,157,38,17,17
The Standard London,181,25,17,9,8
Radisson Blu Edwardian Hampshire Hotel London,2509,849,296,164,97
Jesmond Hotel,385,215,46,19,6
Hampton by Hilton London Waterloo,2032,1425,317,77,56
St. James Court A Taj Hotel London,3175,1370,439,176,109
St Paul's Hotel,471,174,25,9,6
Sea Containers London,3855,1005,288,95,70
The Megaro,1881,1077,218,88,53
The Chilworth London Paddington,1020,115,50,18,18
Sloane Place,174,36,12,2,5
Park Grand Paddington Court,1896,623,216,54,73
The Lalit London,705,104,33,20,24
Crowne Plaza London - Albert Embankment an IHG hotel,153,39,8,4,4
citizenM London Shoreditch,989,393,123,32,27
Hilton London Canary Wharf,3074,1215,265,74,41
The Royal Foundation of St Katharine,471,169,26,9,5
London Bridge Hotel,1940,931,182,46,32
Radisson Blu Edwardian New Providence Wharf Hotel London,3188,1100,246,106,89
The Hoxton Holborn,1663,575,135,34,12
JW Marriott Grosvenor House London,1924,873,345,163,111
Treehouse Hotel London,153,24,12,7,7
Hotel Indigo London - Tower Hill an IHG hotel,1037,409,57,17,7
Canary Riverside Plaza Hotel,669,235,74,26,12
ibis London Canning Town Hotel,369,155,25,15,8
The Mandeville Hotel,1375,915,297,92,65
The Cadogan A Belmond Hotel London,82,8,6,1,0
The Zetter Hotel,608,318,72,26,11
Apex Temple Court Hotel,3501,1264,147,52,18
Bulgari Hotel London,433,67,22,14,7
The Guardsman,23,0,1,0,0
The Darlington Hyde Park,1180,1045,216,44,19
The Gore Hotel London,961,597,182,85,35
The Z Hotel Covent Garden,131,52,21,4,7
H10 London Waterloo,2305,1325,295,87,71
Thistle Holborn Hotel,1672,1027,212,86,35
Boston Manor Hotel,72,114,80,42,62
Novotel London Bridge Hotel,996,1325,355,106,52
The Montcalm At The Brewery London City,2462,716,217,78,60
Novotel London Canary Wharf,958,321,117,60,35
Holiday Inn London - Camden Lock an IHG hotel,975,754,183,53,46
Clayton Hotel Chiswick,616,364,100,26,23
The Queen's Gate Hotel,518,610,206,57,39
The Sumner Hotel,922,467,69,34,12
Mornington Hotel London Victoria,161,79,18,4,12
Town Hall Hotel,1091,314,107,43,51
Z Hotel Tottenham Court Road,119,52,22,7,3
Park Plaza Victoria London,2693,2105,542,232,128
Premier Inn London Brixton hotel,634,253,59,26,26
Citadines Barbican London,178,126,21,7,8
Z at Gloucester Place,264,139,33,14,15
Brook Green Hotel,254,123,32,18,9
Sydney House Chelsea,356,172,49,16,5
Premier Inn London Southwark (Borough High St) hotel,474,227,55,16,25
Holiday Inn London - Whitechapel an IHG hotel,482,436,69,14,17
Hotel Indigo London - Paddington an IHG hotel,1296,723,169,60,36
Eccleston Square Hotel,508,221,83,27,14
Threadneedles Autograph Collection,816,363,113,51,31
St. James's Hotel and Club Mayfair,801,215,78,28,20
Rose and Crown Stoke Newington,166,32,10,3,3
No Ten Manchester Street,549,263,86,27,21
Glenlyn Hotel,292,239,57,10,4
The Guardsman,23,0,1,0,0
Premier Inn London City (Tower Hill) Hotel,1605,1051,253,77,47
Hampton by Hilton London Docklands,323,251,77,17,25
Malmaison London,1051,612,259,80,60
Hart Shoreditch Hotel London Curio Collection by Hilton,83,22,7,2,3
Karma Sanctum Soho,478,231,110,77,99
Hampton by Hilton London Waterloo,2032,1425,317,77,56
Novotel London Excel,1126,1210,364,101,62
196 Bishopsgate,251,193,67,25,11
Montana Hotel,397,463,214,65,50
The Rembrandt,1574,1387,325,129,103
Thistle Trafalgar Square,1117,764,220,76,34
London Marriott Hotel Regents Park,1256,1022,350,127,106
The Royal Horseguards,4116,1336,484,236,120
Pestana Chelsea Bridge,1804,981,231,79,86
Mercure London Hyde Park,507,235,62,31,35
Premier Inn London Hackney Hotel,621,330,71,27,20
Adria Hotel,321,368,88,24,14
The Barbican Rooms,248,124,45,21,10
Bermonds Locke,83,7,5,5,2
The May Fair A Radisson Collection Hotel Mayfair London,3366,1371,682,384,286
Novotel London Tower Bridge,1551,1527,384,102,55
Church Street Hotel,273,177,40,21,11
The One Tun,95,41,6,3,3
Best Western Plus Delmere Hotel,222,169,45,9,22
Grand Royale London Hyde Park,2323,1715,656,279,329
Connaught House Hotel London ExCeL,174,139,34,8,8
Parkwood at Marble Arch,329,312,85,34,12
Antoinette Hotel Wimbledon,396,351,117,43,42
Henley House Hotel,230,318,83,29,15
Hotel Xanadu,312,257,56,14,18
Point A Hotel London Kings Cross St Pancras,2794,2858,901,270,140
Hampton by Hilton London Waterloo,2032,1425,317,77,56
Judd Hotel,86,38,9,7,7
Premier Inn London Victoria Hotel,1654,1243,306,82,69
Park Plaza London Park Royal,614,322,105,64,69
Premier Inn London Angel Islington hotel,871,498,119,28,57
Premier Inn London Bank (Tower) Hotel,1695,819,193,79,48
The Guardsman,23,0,1,0,0
Premier Inn London Holborn Hotel,1716,810,166,65,52
Travelodge London Raynes Park,190,138,45,24,18
Best Western Chiswick Palace & Suites,398,498,178,72,47
The Bailey's Hotel London Kensington,1022,428,125,76,67
The Clarendon Hotel - Blackheath Village,1024,939,448,148,89
Park Plaza Westminster Bridge London,13049,6088,1987,976,794
The Wellington by Blue Orchid,414,327,93,39,27
Ibis Styles London Ealing,98,83,30,11,6
DoubleTree by Hilton Hotel London - Chelsea,1074,668,192,52,45
Staunton Hotel,155,204,60,22,16
Boundary London,149,43,26,12,5
Premier Inn London Woolwich (Royal Arsenal) hotel,249,134,41,21,32
Travelodge London Excel,602,414,224,96,107
The Leonard Hotel,349,301,96,43,37
London Marriott Hotel Kensington,806,709,298,89,59
Melia London Kensington a Melia Collection Hotel,80,15,6,4,2
Premier Inn London Wandsworth Hotel,603,319,103,43,48
Holiday Inn London - Bloomsbury an IHG hotel,1031,1576,692,192,101
The Z Hotel City,337,268,99,24,23
ibis Styles London Gloucester Road Hotel,92,87,33,14,7
The Park City Grand Plaza Kensington Hotel,867,571,128,46,48
Chelsea Guest House,484,649,253,79,34
Hand and Flower Hotel,213,182,67,28,19
W12 Rooms,147,143,37,7,13
The Park Tower Knightsbridge A Luxury Collection Hotel London,591,402,143,51,54
The Guardsman,23,0,1,0,0
Premier Inn London Leicester Square Hotel,1482,905,258,95,59
Good Hotel London,818,633,259,103,91
Leonardo Royal London City,522,190,116,86,70
Premier Inn London Tower Bridge Hotel,2194,1334,348,123,76
Dorsett City London,401,184,66,44,34
The Standard London,181,25,17,9,8
St. Pancras Renaissance Hotel London,2384,1108,452,211,149
Crowne Plaza London Docklands an IHG hotel,948,762,282,139,102
Mama Shelter London - Shoreditch,90,19,14,3,6
The Z Hotel Victoria,764,827,253,83,75
Premier Inn London Kensington (Olympia) Hotel,1157,879,264,88,69
The Marble Arch London,287,154,77,43,46
Hotel Indigo London - 1 Leicester Square an IHG hotel,177,95,46,35,20
Novotel London Greenwich,978,981,267,72,43
Radisson Blu Edwardian Sussex Hotel London,936,731,339,175,134
Park International Hotel,965,1199,434,157,126
Crescent Hotel,90,136,57,18,1
Ibis London City - Shoreditch Hotel,1359,2482,736,134,93
Fraser Place Canary Wharf,273,211,66,36,34
London Marriott Hotel Grosvenor Square,812,634,314,112,89
The Griffin Belle,34,0,0,0,0
Travelodge London City Airport Hotel,668,516,323,120,157
The Z Hotel Shoreditch,361,290,98,46,34
Club Quarters Hotel Gracechurch,698,889,404,112,67
Radisson Blu Edwardian Grafton Hotel London,2140,2030,853,453,270
Fraser Suites Queens Gate,313,288,105,66,31
Courthouse Hotel Shoreditch,497,177,82,66,65
Blandford Hotel,285,375,110,48,23
The Euro Hotel,228,392,142,26,16
The Harrison Gastro Pub and Hotel,87,84,21,8,1
Premier Inn London Putney Bridge Hotel,1206,1018,328,114,71
The Guardsman,23,0,1,0,0
Bedford Hotel,326,701,321,64,32
