name,excellent,very_good,average,poor,terrible
Omni Berkshire Place,2935,1322,411,151,85
Park South Hotel,1794,1025,219,95,45
Park Hyatt New York,1883,251,128,62,58
EVEN Hotel New York - Times Square South an IHG hotel,1207,302,55,13,7
The Moore,13,0,0,0,0
Pod Times Square,651,401,134,30,68
Carnegie Hotel,170,69,12,8,2
Conrad New York Downtown,3166,878,209,94,56
Thompson Central Park,248,222,165,127,84
MADE Hotel,452,63,22,19,8
Kixby,2574,1757,370,84,66
Casamia 36 Hotel,11,3,1,1,9
Incentra Home Chelsea,0,1,0,0,0
Sohotel,742,647,283,111,148
Edge Hotel,298,92,14,5,5
New York Hilton Midtown,4200,4745,2687,1280,781
Le Meridien New York Central Park,92,45,21,19,17
The Moore,13,0,0,0,0
The James New York - NoMad,353,82,53,31,29
Hotel Giraffe by Library Hotel Collection,4158,701,103,25,15
Arthouse Hotel New York City,3802,2297,787,299,219
ModernHaus SoHo,1259,463,192,113,69
The Knickerbocker Hotel,4351,1026,378,170,145
Hotel 48LEX New York,1318,507,163,62,52
The Mark Hotel,826,146,50,25,16
Loews Regency New York Hotel,1777,315,129,55,49
American Dream Hostel,119,137,31,17,18
The New York EDITION,1046,263,127,42,31
The Pierre a Taj Hotel New York,1853,316,128,67,57
citizenM New York Times Square,3642,1020,179,63,51
Hotel Henny,0,0,0,0,1
U.S. Pacific Hotel,7,11,34,11,19
Studio Plus,0,0,0,0,1
The Moore,13,0,0,0,0
Artezen Hotel,275,31,3,1,1
Moxy NYC Chelsea,480,79,28,17,8
Margaritaville Resort Times Square,113,2,1,0,0
Staypineapple An Artful Hotel,249,82,34,7,10
Duane Street Hotel,481,249,57,17,24
Fairfield Inn & Suites by Marriott New York Manhattan / Times Square South,48,46,20,25,13
The Frederick Hotel,1102,967,312,115,79
The Ludlow New York City,535,249,71,29,7
Arlo Midtown,200,13,3,1,3
Hotel Mimosa New York,314,72,11,2,4
The Broome,562,62,10,12,9
Moxy NYC East Village,266,30,11,13,12
Residence Inn New York Downtown Manhattan/World Trade Center Area,646,315,62,19,11
Crowne Plaza HY36 Midtown Manhattan an IHG hotel,765,169,47,14,14
The Standard East Village,796,254,93,53,37
Best Western Premier Herald Square,1550,898,174,42,20
Hilton Garden Inn NYC Financial Center / Manhattan Downtown,548,189,43,14,23
The Iroquois New York,3364,1142,231,83,51
The Maritime Hotel,500,251,58,19,12
Public,662,151,72,39,45
Days Inn by Wyndham Hotel New York City-Broadway,185,639,711,350,456
Fitzpatrick Manhattan,1181,414,126,46,25
The Dominick Hotel,2720,782,243,112,88
Greenwich Hotel,504,64,30,9,11
The Beekman A Thompson Hotel,1061,162,62,30,17
1 Hotel Central Park,1647,281,82,39,33
Trump International Hotel and Tower New York,1353,269,110,51,61
Crosby Street Hotel,750,107,29,9,3
The Ritz-Carlton New York Central Park,1357,281,117,47,35
31 Street Broadway Hotel,2,7,7,2,67
Lotte New York Palace,3718,1195,438,178,139
The Moore,13,0,0,0,0
Fairfield Inn & Suites New York Downtown Manhattan/World Trade Center Area,135,80,18,6,13
Sofitel New York,4813,1993,497,175,113
The Times Square EDITION,163,44,17,14,17
Renaissance New York Times Square Hotel,1434,932,277,89,64
Mondrian Park Avenue,512,117,66,42,43
Fairfield Inn & Suites by Marriott New York Manhattan / Times Square South,48,46,20,25,13
The Carvi Hotel New York Ascend Hotel Collection,320,284,64,15,18
Park Central Hotel New York,3190,2488,980,452,379
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,939,685,165,47,31
Royalton New York,1623,885,406,154,82
Radio City Apartments,1207,1167,269,76,55
Hyatt House New York/Chelsea,574,241,87,33,32
Fairfield Inn & Suites New York Manhattan/Chelsea,543,347,87,41,32
Hampton Inn Manhattan-Times Square North,3528,2415,596,171,111
The Manhattan Club,822,743,187,95,97
Hilton Garden Inn New York/Midtown Park Ave,818,535,153,56,50
Hampton Inn Manhattan-Chelsea,1149,848,220,77,58
Marriott Vacation Club Pulse New York City,1399,847,208,69,40
Hyatt Place New York / Midtown - South,1440,1035,282,106,97
Hilton Garden Inn New York/Tribeca,819,691,180,62,46
Courtyard New York Manhattan/Chelsea,569,407,103,25,15
Hampton Inn Manhattan-35th St/Empire State Bldg,1283,1022,317,85,70
Hyatt Union Square New York,1320,570,172,69,60
Hotel 32 32,438,253,100,29,33
Hilton Garden Inn Times Square,4758,3107,654,186,166
Hotel Shocard at Times Square,267,126,46,25,28
The Marlton Hotel,398,281,60,22,17
The Leon Hotel,230,178,45,9,10
The Ridge Hotel,246,250,78,20,27
Holiday Inn NYC - Lower East Side an IHG hotel,360,351,80,18,15
NoMo SoHo Hotel,965,472,267,111,100
The Moore,13,0,0,0,0
Fairfield Inn & Suites New York Manhattan / Central Park,196,155,68,18,24
Pod 51 Hotel,1845,2638,763,221,186
Warwick New York,2755,1702,466,168,131
Holiday Inn Manhattan-Financial District an IHG hotel,776,835,305,78,59
Hyatt Herald Square New York,709,431,146,77,54
Fairfield Inn & Suites by Marriott New York Manhattan / Times Square South,48,46,20,25,13
New York Marriott Downtown,866,890,283,79,50
AC Hotel New York Downtown,96,47,14,9,8
Conrad New York Midtown,2525,1131,442,219,188
Four Points by Sheraton Midtown - Times Square,1034,1100,350,104,75
Hampton Inn Manhattan-Seaport-Financial District,644,428,142,79,64
Fairfield Inn New York Manhattan/Financial District,238,240,99,19,18
Hilton Garden Inn New York/Manhattan-Chelsea,1078,949,281,99,80
Martinique New York on Broadway Curio Collection by Hilton,2191,2230,785,277,235
Stewart Hotel,3846,2214,980,496,415
Hilton Garden Inn New York/Manhattan-Midtown East,880,525,181,76,66
Millennium Premier New York Times Square,644,365,145,63,65
Hotel Belleclaire,1584,1750,610,258,154
Chelsea Savoy Hotel,195,441,143,33,29
Sheraton Tribeca New York Hotel,836,952,421,176,141
The Bentley Hotel,2388,1477,765,313,222
Courtyard New York Manhattan / Times Square,665,693,181,57,43
The Westin New York Grand Central,2066,1883,665,270,229
Hampton Inn Manhattan-Madison Square Garden Area,1177,958,255,78,72
Hotel Hendricks,241,102,44,24,34
Hotel Henri,431,210,113,47,54
Freehand New York,317,184,83,41,55
Crowne Plaza Times Square Manhattan an IHG hotel,5639,3958,1378,538,476
Hotel 46 Times Square,925,1059,258,58,49
Aloft Harlem,332,364,89,20,21
Belvedere Hotel,2352,2737,755,262,170
The Moore,13,0,0,0,0
M Social Hotel Times Square New York,75,11,6,7,9
Millennium Hilton New York One UN Plaza,724,418,153,74,97
Hyatt Place New York City/Times Square,162,93,46,35,43
Hotel Indigo Lower East Side New York an IHG hotel,765,279,100,49,54
Incentra Village House,116,52,12,12,9
Fairfield Inn & Suites by Marriott New York Manhattan / Times Square South,48,46,20,25,13
SIXTY LES,696,381,167,98,82
Courtyard New York Manhattan/Upper East Side,353,447,179,66,55
W New York - Times Square,2072,1511,705,388,249
The Hotel at Times Square,1104,1939,727,195,175
Embassy Suites by Hilton New York Manhattan Times Square,458,244,127,75,87
Fairfield Inn & Suites New York Manhattan / Times Square,854,1010,334,101,85
Econo Lodge Times Square,420,622,257,69,88
The Empire Hotel,2777,2501,1559,902,710
Holiday Inn Express New York City - Chelsea an IHG hotel,712,1111,384,99,80
The Hotel Newton,448,870,304,94,64
Hampton Inn Manhattan/Times Square South,1280,1176,411,149,142
Shoreham Hotel,729,996,449,211,146
Hilton New York Fashion District,1777,1471,505,168,114
La Quinta Inn & Suites by Wyndham Times Square South,57,14,2,2,4
The New Yorker A Wyndham Hotel,5025,5987,2553,878,627
Holiday Inn Express New York City-Wall Street an IHG hotel,167,281,120,39,38
Four Points by Sheraton Manhattan Chelsea,290,525,250,79,59
Courtyard New York Manhattan / Fifth Avenue,349,411,199,55,33
Radisson Hotel New York Midtown - Fifth Avenue,793,831,332,133,105
Holiday Inn Express New York City Times Square an IHG hotel,824,1086,470,108,88
The Hotel @ New York City,398,893,375,98,78
Skyline Hotel,684,1403,605,180,110
Holiday Inn New York City - Wall Street an IHG hotel,222,365,148,38,49
The Gatsby Hotel,79,65,30,12,11
Orchard Street Hotel,141,111,47,15,23
The Moore,13,0,0,0,0
La Quinta Inn & Suites by Wyndham New York City Central Park,193,202,128,55,75
Off Soho Suites,67,146,59,28,19
SpringHill Suites New York Manhattan/Times Square South,78,44,22,11,26
YOTEL New York,6748,4724,1268,569,559
The Wallace,16,1,0,0,0
Kixby,2574,1757,370,84,66
Heritage Hotel New York City,231,458,273,91,68
Americana Inn,155,325,199,71,70
Hyatt Regency JFK Airport at Resorts World New York,43,5,2,1,5
Courtyard New York Manhattan/Midtown west,39,9,3,4,4
Carlton Arms Hotel,118,153,81,45,41
THE AMSTERDAM COURT HOTEL,1042,1453,865,433,407
Graduate Roosevelt Island,46,4,3,2,5
Hilton Garden Inn New York/Central Park South-Midtown West,1404,1372,422,213,167
Westgate New York Grand Central,73,73,24,15,23
Madison LES Hotel,86,83,38,10,13
Da Vinci Hotel,126,290,137,45,53
The Park Ave North,61,35,22,6,10
Element New York Times Square West,1841,2089,703,340,279
Hyatt Centric 39th & 5th New York,30,4,4,2,0
The Paul Hotel NYC,400,398,211,85,110
nyma the New York Manhattan Hotel,739,1494,604,162,141
Eurostars Wall Street,83,142,82,38,36
6 Columbus - Central Park Hotel,461,424,189,139,82
TownePlace Suites New York Manhattan / Times Square,72,28,16,6,9
Pestana Park Avenue,38,7,7,1,2
3 West Club,73,66,30,11,8
Millennium Hilton New York Downtown,2290,1971,856,379,263
Four Points by Sheraton New York Downtown,132,180,90,39,52
The Allen Hotel,80,27,13,3,16
Solita Soho Hotel,163,237,82,44,38
The Moore,13,0,0,0,0
The Gallivant Times Square,672,988,724,346,427
Fairfield Inn & Suites by Marriott New York Manhattan / Times Square South,48,46,20,25,13
DoubleTree by Hilton Hotel New York Times Square West,722,761,464,311,326
Hotel Central Times Square an IHG hotel,769,811,490,289,274
Hyatt Grand Central New York,3487,3742,2386,1212,973
Kixby,2574,1757,370,84,66
The Manhattan at Times Square Hotel,4882,2605,1921,1047,1243
Chelsea Inn - 17th Street,61,82,60,18,47
Wingate by Wyndham New York Midtown South/5th Ave,29,14,3,2,6
Best Western Premier Empire State Hotel,2,0,0,0,0
Selina Chelsea,186,150,86,65,72
Renaissance New York Chelsea Hotel,42,16,8,15,9
Holiday Inn Manhattan 6th Ave - Chelsea an IHG hotel,351,628,381,131,110
East Village Hotel,49,53,26,13,18
Pestana CR7 Times Square,6,1,0,0,3
Henn Na Hotel New York,3,0,0,0,1
Soho Grand Hotel,15,1,1,0,1
The Central Park North,31,39,17,12,10
Jazz on the Park,143,164,152,82,78
Millennium Hotel Broadway Times Square,2072,2481,1326,655,548
Artel Hotel Times Square,53,44,33,15,47
The Draper Ascend Hotel Collection,22,3,1,1,6
Blue Moon Hotel NYC,12,0,0,0,1
Row NYC Hotel,7344,8212,4949,2572,2516
The International Cozy Inn,59,38,21,9,8
Astor on the Park,194,544,492,188,166
Executive Class at MTS Hotel,6,6,3,1,6
The Carlyle A Rosewood Hotel,1,0,0,0,0
West Side YMCA,191,529,474,204,175
Redford Hotel,13,6,0,1,2
Residence Inn New York Manhattan/Financial District,1,1,0,0,1
The Moore,13,0,0,0,0
TBA Times Square,0,0,0,2,6
Kixby,2574,1757,370,84,66
The Nomad Suites,0,0,0,0,2
Doxie Hotel,2,4,1,2,7
Studio Plus,3,9,7,1,12
Metro Midtown Suites New York,2,10,5,3,26
The Towers at Lotte New York Palace,1943,188,65,24,16
The Residences by Hilton Club,133,28,9,3,1
Sister City,126,22,9,4,1
AKA Wall Street,166,34,8,1,6
Four Seasons Hotel New York,339,48,24,12,10
Lowell Hotel,338,44,23,14,8
Lex Boutique Hotel,621,218,38,5,6
The Wagner at the Battery,1920,608,239,90,76
The Tuscany - A St Giles Signature Hotel,1514,745,154,58,35
West 57th Street by Hilton Club,1165,436,142,62,35
AKA Times Square,433,221,37,16,14
The Moore,13,0,0,0,0
Phillips Club,81,25,2,0,1
Cambria Hotel New York - Times Square,700,432,80,22,22
Hotel Riu Plaza New York Times Square,2588,1523,379,159,161
AKA Central Park,310,177,42,13,18
Iberostar 70 Park Avenue,662,476,147,59,36
Gramercy Park Hotel,1126,297,135,64,48
Hotel Plaza Athenee,576,204,76,39,38
The Roger New York,2521,1572,586,187,92
Avalon Hotel,1166,865,225,44,35
Hilton Times Square,4821,2483,651,222,180
The Marmara Manhattan,595,424,98,42,29
Cassa Hotel Times Square,1103,481,146,57,66
Cassa Hotel NY 45th Street,1527,888,254,70,84
The Lombardy,380,240,62,29,25
Courtyard New York Manhattan/Herald Square,490,333,76,30,20
The Wolcott Hotel,857,1319,494,141,90
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,450,233,92,41,40
The Surrey,1652,372,188,90,64
Radisson Hotel New York Wall Street,1094,853,318,136,80
Hotel Richland New York,307,296,79,14,10
Sago Hotel,123,27,10,3,6
The Renwick Hotel New York City Curio Collection by Hilton,1112,512,142,76,68
Soho House New York,194,51,24,13,7
Waldorf Astoria New York,4677,3152,2077,1075,589
Hilton Garden Inn New York/Times Square Central,1199,737,293,100,113
The Redbury New York,357,268,124,62,47
Night Hotel by SB at Times Square,921,872,319,152,94
The Assemblage John Street,110,20,5,2,4
Hotel 17,314,691,235,55,59
Excelsior Hotel,720,1029,359,134,128
The Moore,13,0,0,0,0
Phillips Club,81,25,2,0,1
The Wagner at the Battery,1920,608,239,90,76
The Tuscany - A St Giles Signature Hotel,1514,745,154,58,35
West 57th Street by Hilton Club,1165,436,142,62,35
Chelsea Pines Inn,1804,380,100,39,32
Cambria Hotel New York - Times Square,700,432,80,22,22
Hotel Riu Plaza New York Times Square,2588,1523,379,159,161
AKA Central Park,310,177,42,13,18
Iberostar 70 Park Avenue,662,476,147,59,36
Gramercy Park Hotel,1126,297,135,64,48
Hotel Plaza Athenee,576,204,76,39,38
The Roger New York,2521,1572,586,187,92
Avalon Hotel,1166,865,225,44,35
Hilton Times Square,4821,2483,651,222,180
The Marmara Manhattan,595,424,98,42,29
Cassa Hotel Times Square,1103,481,146,57,66
Cassa Hotel NY 45th Street,1527,888,254,70,84
Courtyard New York Manhattan/Herald Square,490,333,76,30,20
The Surrey,1652,372,188,90,64
Radisson Hotel New York Wall Street,1094,853,318,136,80
Hotel Richland New York,307,296,79,14,10
Sago Hotel,123,27,10,3,6
Soho House New York,194,51,24,13,7
Waldorf Astoria New York,4677,3152,2077,1075,589
Hilton Garden Inn New York/Times Square Central,1199,737,293,100,113
The Redbury New York,357,268,124,62,47
Night Hotel by SB at Times Square,921,872,319,152,94
The Assemblage John Street,110,20,5,2,4
Hotel 17,314,691,235,55,59
