name,excellent,very_good,average,poor,terrible
St. Peter's Luxury Rooms,43,0,0,0,0
Orange Suites,84,31,6,1,4
Anthony Guesthouse,107,64,17,5,4
Best Pantheon B&B,145,60,17,3,5
Hotel Valeri,130,116,34,11,6
Life in Rome Apartment,81,7,1,1,1
La Maison di Sant'Anna,74,26,4,2,1
Hotel Siena Roma,173,215,65,17,23
The Fifteen Keys Hotel,695,72,7,1,2
Hotel Golden,2695,628,67,23,11
NH Collection Roma Fori Imperiali,131,10,3,2,2
Villa Spalletti Trivelli,530,28,7,8,1
Boutique Hotel Campo de Fiori,2499,526,93,32,23
Lifestyle Suites Rome,386,24,4,1,1
Mood 44,349,39,2,0,3
iQ Hotel Roma,3716,1167,117,24,10
Home in Rome Trevi,88,7,1,0,1
The Liberty Boutique Hotel,276,37,7,0,1
Hotel Damaso,398,66,4,0,3
B&B Biancagiulia,243,35,2,0,0
Crossing Condotti,384,44,2,0,0
The RomeHello,246,26,2,1,0
Martis Palace Hotel Rome,446,42,4,2,1
Trilussa Palace Hotel,1838,673,148,42,18
Palazzo Scanderbeg,185,15,4,0,0
Domus Libera,174,10,4,1,0
Inn Urbe Colosseo B&B,263,29,1,1,1
Bless&B B&B,136,13,1,0,0
Relais Merulana Guest House,160,19,1,0,0
Abbraccia Morfeo,234,47,2,0,0
Cardilli Luxury Rooms,465,78,7,1,1
The Inn At The Roman Forum,1659,227,54,23,14
Suites Piazza del Popolo,161,19,0,2,0
Nicolas Inn,727,86,8,4,3
Locanda del Sole Luxury Suite Rome,272,12,2,0,1
Relais Donna Lucrezia,211,12,2,1,1
B&B Roma Borgo91,152,21,0,1,0
La Piccola Maison,762,98,11,2,0
Rome Marriott Park Hotel,681,932,556,216,178
Hotel Golden,2695,628,67,23,11
NH Collection Roma Fori Imperiali,131,10,3,2,2
Boutique Hotel Campo de Fiori,2499,526,93,32,23
iQ Hotel Roma,3716,1167,117,24,10
Home in Rome Trevi,88,7,1,0,1
Hotel Caravel,466,526,156,25,26
B&B Biancagiulia,243,35,2,0,0
The Liberty Boutique Hotel,276,37,7,0,1
Hotel Damaso,398,66,4,0,3
The RomeHello,246,26,2,1,0
Trilussa Palace Hotel,1838,673,148,42,18
Hotel Indigo Rome - St. George an IHG hotel,1062,339,88,37,18
Palazzo Scanderbeg,185,15,4,0,0
