url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g186338-d3530264-Reviews-Novotel_London_Blackfriars-London_England.html#REVIEWS,Novotel London Blackfriars,1750,1191,244,74,40
https://www.tripadvisor.com/Hotel_Review-g186338-d677369-Reviews-The_Grand_at_Trafalgar_Square-London_England.html#REVIEWS,The Grand at Trafalgar Square,961,723,262,78,54
https://www.tripadvisor.com/Hotel_Review-g186338-d193620-Reviews-The_Chelsea_Harbour_Hotel-London_England.html#REVIEWS,The Chelsea Harbour Hotel,1564,468,163,79,78
https://www.tripadvisor.com/Hotel_Review-g186338-d214639-Reviews-The_Darlington_Hyde_Park-London_England.html#REVIEWS,The Darlington Hyde Park,1183,1045,216,44,19
https://www.tripadvisor.com/Hotel_Review-g186338-d195206-Reviews-Lancaster_Gate_Hotel-London_England.html#REVIEWS,Lancaster Gate Hotel,531,1292,642,179,114
https://www.tripadvisor.com/Hotel_Review-g186338-d6603498-Reviews-Sunborn_London-London_England.html#REVIEWS,Sunborn London,2436,889,377,156,164
https://www.tripadvisor.com/Hotel_Review-g186338-d17437744-Reviews-Hotel_nhow_London-London_England.html#REVIEWS,Hotel nhow London,88,14,11,4,6
https://www.tripadvisor.com/Hotel_Review-g186338-d2011349-Reviews-PubLove_At_The_Steam_Engine_Waterloo-London_England.html#REVIEWS,PubLove At The Steam Engine Waterloo,108,162,79,29,27
https://www.tripadvisor.com/Hotel_Review-g186338-d199849-Reviews-DoubleTree_by_Hilton_Hotel_London_Docklands_Riverside-London_England.html#REVIEWS,DoubleTree by Hilton Hotel London - Docklands Riverside,1097,897,481,252,211
https://www.tripadvisor.com/Hotel_Review-g186338-d305742-Reviews-DoubleTree_by_Hilton_Hotel_London_Chelsea-London_England.html#REVIEWS,DoubleTree by Hilton Hotel London - Chelsea,1077,668,193,52,45
https://www.tripadvisor.com/Hotel_Review-g186338-d193043-Reviews-Citadines_Trafalgar_Square_London-London_England.html#REVIEWS,Citadines Trafalgar Square London,1181,1192,343,128,80
https://www.tripadvisor.com/Hotel_Review-g186338-d833404-Reviews-Mama_Shelter_London_Shoreditch-London_England.html#REVIEWS,Mama Shelter London - Shoreditch,93,19,15,3,7
https://www.tripadvisor.com/Hotel_Review-g186338-d189073-Reviews-Mowbray_Court_Hotel-London_England.html#REVIEWS,Mowbray Court Hotel,190,326,153,65,68
https://www.tripadvisor.com/Hotel_Review-g186338-d21262078-Reviews-Bermonds_Locke-London_England.html#REVIEWS,Bermonds Locke,85,7,5,6,3
https://www.tripadvisor.com/Hotel_Review-g186338-d193620-Reviews-The_Chelsea_Harbour_Hotel-London_England.html#REVIEWS,The Chelsea Harbour Hotel,1564,468,163,79,78
https://www.tripadvisor.com/Hotel_Review-g186338-d193053-Reviews-The_Mandeville_Hotel-London_England.html#REVIEWS,The Mandeville Hotel,1380,917,299,92,65
https://www.tripadvisor.com/Hotel_Review-g186338-d262402-Reviews-The_Wellington_by_Blue_Orchid-London_England.html#REVIEWS,The Wellington by Blue Orchid,415,327,93,39,27
https://www.tripadvisor.com/Hotel_Review-g186338-d189735-Reviews-The_Resident_Kensington-London_England.html#REVIEWS,The Resident Kensington,3038,1191,162,52,26
https://www.tripadvisor.com/Hotel_Review-g186338-d21165088-Reviews-YOTEL_London_Clerkenwell-London_England.html#REVIEWS,YOTEL London Clerkenwell,66,25,9,3,6
https://www.tripadvisor.com/Hotel_Review-g186338-d242994-Reviews-Central_Hotel-London_England.html#REVIEWS,Central Hotel,110,267,159,75,53
https://www.tripadvisor.com/Hotel_Review-g186338-d3164384-Reviews-Park_Grand_London_Hyde_Park-London_England.html#REVIEWS,Park Grand London Hyde Park,1451,742,334,134,145
https://www.tripadvisor.com/Hotel_Review-g186338-d193112-Reviews-Strand_Palace-London_England.html#REVIEWS,Strand Palace,96,45,27,16,18
https://www.tripadvisor.com/Hotel_Review-g186338-d224663-Reviews-The_Rochester_by_Blue_Orchid-London_England.html#REVIEWS,The Rochester by Blue Orchid,241,532,278,105,78
https://www.tripadvisor.com/Hotel_Review-g186338-d672863-Reviews-Park_Plaza_County_Hall_London-London_England.html#REVIEWS,Park Plaza County Hall London,5315,2893,816,322,247
https://www.tripadvisor.com/Hotel_Review-g186338-d193090-Reviews-Astor_Court_Hotel-London_England.html#REVIEWS,Astor Court Hotel,120,358,238,73,86
https://www.tripadvisor.com/Hotel_Review-g186338-d199157-Reviews-Novotel_London_Tower_Bridge-London_England.html#REVIEWS,Novotel London Tower Bridge,1553,1527,384,102,55
https://www.tripadvisor.com/Hotel_Review-g186338-d1229221-Reviews-Travelodge_London_Central_Tower_Bridge-London_England.html#REVIEWS,Travelodge London Central Tower Bridge,1034,918,454,222,192
https://www.tripadvisor.com/Hotel_Review-g186338-d11962965-Reviews-Mimi_s_Hotel_Soho-London_England.html#REVIEWS,Mimi's Hotel Soho,191,127,59,34,52
https://www.tripadvisor.com/Hotel_Review-g186338-d1102245-Reviews-SACO_Holborn_Lamb_s_Conduit_St-London_England.html#REVIEWS,SACO Holborn - Lamb's Conduit St,255,48,23,3,5
https://www.tripadvisor.com/Hotel_Review-g186338-d187995-Reviews-Portobello_Hotel-London_England.html#REVIEWS,Portobello Hotel,150,65,15,13,18
https://www.tripadvisor.com/Hotel_Review-g186338-d193111-Reviews-Thistle_Trafalgar_Square-London_England.html#REVIEWS,Thistle Trafalgar Square,1119,770,220,76,34
