url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g60763-d99443-Reviews-Astor_on_the_Park-New_York_City_New_York.html#REVIEWS,Astor on the Park,194,544,492,188,166
https://www.tripadvisor.com/Hotel_Review-g60763-d23335464-Reviews-TownePlace_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York.html#REVIEWS,TownePlace Suites New York Manhattan/Chelsea,3,0,0,0,3
https://www.tripadvisor.com/Hotel_Review-g60763-d13748466-Reviews-31_Street_Broadway_Hotel-New_York_City_New_York.html#REVIEWS,31 Street Broadway Hotel,2,7,7,2,67
https://www.tripadvisor.com/Hotel_Review-g60763-d15327417-Reviews-Walker_Hotel_Tribeca-New_York_City_New_York.html#REVIEWS,Walker Hotel Tribeca,87,15,11,6,6
https://www.tripadvisor.com/Hotel_Review-g60763-d23036108-Reviews-Arlo_Midtown-New_York_City_New_York.html#REVIEWS,Arlo Midtown,216,12,6,1,3
https://www.tripadvisor.com/Hotel_Review-g60763-d15237449-Reviews-Artezen_Hotel-New_York_City_New_York.html#REVIEWS,Artezen Hotel,279,32,3,1,1
https://www.tripadvisor.com/Hotel_Review-g60763-d620399-Reviews-Sonder_Duane_Street-New_York_City_New_York.html#REVIEWS,Sonder | Duane Street,481,249,57,17,24
https://www.tripadvisor.com/Hotel_Review-g60763-d23462501-Reviews-Margaritaville_Resort_Times_Square-New_York_City_New_York.html#REVIEWS,Margaritaville Resort Times Square,126,3,1,0,0
https://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York.html#REVIEWS,Moxy NYC Chelsea,493,79,28,17,8
https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,Arthouse Hotel New York City,3806,2299,789,301,219
https://www.tripadvisor.com/Hotel_Review-g60763-d23528665-Reviews-Pendry_Manhattan_West-New_York_City_New_York.html#REVIEWS,Pendry Manhattan West,59,2,0,0,0
https://www.tripadvisor.com/Hotel_Review-g60763-d93351-Reviews-The_Frederick_Hotel-New_York_City_New_York.html#REVIEWS,The Frederick Hotel,1110,967,312,115,79
https://www.tripadvisor.com/Hotel_Review-g60763-d10533358-Reviews-Carnegie_Hotel-New_York_City_New_York.html#REVIEWS,Carnegie Hotel,172,69,12,8,2
https://www.tripadvisor.com/Hotel_Review-g60763-d17783246-Reviews-Moxy_NYC_East_Village-New_York_City_New_York.html#REVIEWS,Moxy NYC East Village,274,30,11,13,12
https://www.tripadvisor.com/Hotel_Review-g60763-d11854022-Reviews-Crowne_Plaza_HY36_Midtown_Manhattan_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Crowne Plaza HY36 Midtown Manhattan an IHG hotel,775,170,47,14,15
https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York.html#REVIEWS,Wyndham Garden Chinatown,1289,647,170,43,48
https://www.tripadvisor.com/Hotel_Review-g60763-d12533513-Reviews-Public-New_York_City_New_York.html#REVIEWS,Public,674,151,72,39,45
https://www.tripadvisor.com/Hotel_Review-g60763-d5072714-Reviews-The_Broome-New_York_City_New_York.html#REVIEWS,The Broome,562,62,10,12,9
https://www.tripadvisor.com/Hotel_Review-g60763-d6727310-Reviews-The_Ludlow_New_York_City-New_York_City_New_York.html#REVIEWS,The Ludlow New York City,535,249,71,29,7
https://www.tripadvisor.com/Hotel_Review-g60763-d3344640-Reviews-Refinery_Hotel-New_York_City_New_York.html#REVIEWS,Refinery Hotel,4251,1030,294,89,53
https://www.tripadvisor.com/Hotel_Review-g60763-d584986-Reviews-Citadines_Connect_Fifth_Avenue_New_York-New_York_City_New_York.html#REVIEWS,Citadines Connect Fifth Avenue New York,97,68,32,11,25
https://www.tripadvisor.com/Hotel_Review-g60763-d1371825-Reviews-Smyth_Tribeca-New_York_City_New_York.html#REVIEWS,Smyth Tribeca,438,133,43,18,10
https://www.tripadvisor.com/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html#REVIEWS,The Bowery Hotel,597,153,33,8,21
https://www.tripadvisor.com/Hotel_Review-g60763-d99327-Reviews-Fitzpatrick_Grand_Central-New_York_City_New_York.html#REVIEWS,Fitzpatrick Grand Central,1949,812,213,76,41
https://www.tripadvisor.com/Hotel_Review-g60763-d1888977-Reviews-The_Pearl_Hotel-New_York_City_New_York.html#REVIEWS,The Pearl Hotel,1987,616,94,16,12
https://www.tripadvisor.com/Hotel_Review-g60763-d93589-Reviews-Michelangelo_Hotel-New_York_City_New_York.html#REVIEWS,Michelangelo Hotel,3110,1057,254,85,53
https://www.tripadvisor.com/Hotel_Review-g60763-d5550873-Reviews-Archer_Hotel_New_York-New_York_City_New_York.html#REVIEWS,Archer Hotel New York,3360,773,135,63,25
https://www.tripadvisor.com/Hotel_Review-g60763-d1746459-Reviews-The_Nolitan_Hotel-New_York_City_New_York.html#REVIEWS,The Nolitan Hotel,740,248,57,30,16
https://www.tripadvisor.com/Hotel_Review-g60763-d1028569-Reviews-Greenwich_Hotel-New_York_City_New_York.html#REVIEWS,Greenwich Hotel,506,64,30,9,11
https://www.tripadvisor.com/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York.html#REVIEWS,Crosby Street Hotel,750,107,29,9,3
https://www.tripadvisor.com/Hotel_Review-g60763-d93335-Reviews-The_Kimberly_Hotel-New_York_City_New_York.html#REVIEWS,The Kimberly Hotel,1833,620,140,61,32
https://www.tripadvisor.com/Hotel_Review-g60763-d10330604-Reviews-Four_Seasons_Hotel_New_York_Downtown-New_York_City_New_York.html#REVIEWS,Four Seasons Hotel New York Downtown,595,50,33,17,16
https://www.tripadvisor.com/Hotel_Review-g60763-d113311-Reviews-The_Peninsula_New_York-New_York_City_New_York.html#REVIEWS,The Peninsula New York,943,274,114,35,26
https://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-The_Langham_New_York_Fifth_Avenue-New_York_City_New_York.html#REVIEWS,The Langham New York Fifth Avenue,2238,363,115,46,38
https://www.tripadvisor.com/Hotel_Review-g60763-d93607-Reviews-Loews_Regency_New_York_Hotel-New_York_City_New_York.html#REVIEWS,Loews Regency New York Hotel,1778,316,130,56,49
https://www.tripadvisor.com/Hotel_Review-g60763-d15327417-Reviews-Walker_Hotel_Tribeca-New_York_City_New_York.html#REVIEWS,Walker Hotel Tribeca,87,15,11,6,6
https://www.tripadvisor.com/Hotel_Review-g60763-d12845266-Reviews-Mondrian_Park_Avenue-New_York_City_New_York.html#REVIEWS,Mondrian Park Avenue,512,117,66,43,43
https://www.tripadvisor.com/Hotel_Review-g60763-d12906143-Reviews-Fairfield_Inn_Suites_New_York_Downtown_Manhattan_World_Trade_Center_Area-New_York_City.html#REVIEWS,Fairfield Inn & Suites New York Downtown Manhattan/World Trade Center Area,135,80,18,6,13
https://www.tripadvisor.com/Hotel_Review-g60763-d1158753-Reviews-Ink_48_Hotel-New_York_City_New_York.html#REVIEWS,Ink 48 Hotel,2335,883,253,116,91
https://www.tripadvisor.com/Hotel_Review-g60763-d93525-Reviews-Sanctuary_Hotel_New_York-New_York_City_New_York.html#REVIEWS,Sanctuary Hotel New York,2926,1259,325,98,47
https://www.tripadvisor.com/Hotel_Review-g60763-d1158763-Reviews-Hampton_Inn_Manhattan_35th_St_Empire_State_Bldg-New_York_City_New_York.html#REVIEWS,Hampton Inn Manhattan-35th St/Empire State Bldg,1286,1022,319,85,71
https://www.tripadvisor.com/Hotel_Review-g60763-d1465008-Reviews-Holiday_Inn_Express_New_York_City_Wall_Street_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Holiday Inn Express New York City-Wall Street an IHG hotel,167,281,121,40,38
https://www.tripadvisor.com/Hotel_Review-g60763-d3572587-Reviews-Hampton_Inn_Manhattan_Grand_Central-New_York_City_New_York.html#REVIEWS,Hampton Inn Manhattan Grand Central,1784,918,193,63,42
