name,5,4,3,2,1,total
Nike Men's Manoa Leather Hiking Boot,76%,13%,5%,3%,4%,1086
Nike Men's Lebron Witness IV Basketball Shoes,77%,12%,4%,1%,5%,772
Lugz Men's Flip Sneaker,68%,17%,7%,3%,5%,7094
Rockport Men's Chranson Walking Shoe,64%,18%,8%,4%,6%,5953
Merrell Men's Vapor Glove 3 Luna Leather Sneaker,70%,12%,8%,3%,6%,1078
ECCO Men's Street Tray Classic Sneaker,58%,19%,7%,6%,11%,56
PUMA Unisex-Adult Super Levitate Sneaker,71%,16%,6%,3%,4%,3974
Sperry Men's Halyard CVO Sneaker,77%,14%,4%,2%,2%,1339
Fila mens Strada Disruptor,78%,11%,4%,2%,4%,1757
Tvtaop Mens Tennis Shoes Athletic Running Shoes Lightweight Sneakers Non Slip Walking Gym Shoes,57%,18%,10%,4%,11%,306
Damyuan Mens Lightweight Athletic Running Walking Gym Shoes Casual Sports Shoes Fashion Sneakers Walking Shoes,58%,17%,10%,5%,9%,4671
BRONAX Men's Stylish Graffiti Personality Sneakers,68%,16%,8%,3%,5%,12813
adidas Men's Advantage Eco Sneaker,82%,11%,3%,1%,3%,279
Nike Men's Basketball Shoes,67%,15%,6%,4%,7%,466
Nike Men's Downshifter 9 Running Shoe,75%,14%,5%,2%,4%,6994
Nike Mens Air Monarch Iv,75%,13%,5%,3%,4%,2119
adidas Originals Men's Speed Trainer 4 Baseball Shoe,74%,14%,7%,3%,3%,888
Skechers Men's Equalizer 3.0 Oxford,76%,15%,5%,2%,3%,3527
Reebok Unisex-Adult Club C Coast Sneaker,83%,10%,7%,0%,0%,33
adidas Originals Men's NMD_r1 Running Shoe,83%,10%,3%,1%,3%,6688
Skechers for Work 77055 Cankton Athletic Steel Toe work sneaker,69%,16%,7%,3%,5%,13548
Converse Women's Chuck Taylor All Star Shoreline Low Top Sneaker,78%,11%,5%,2%,4%,8916
Bruno Marc Men's Mesh Sneakers Oxfords Lightweight Shoes,76%,15%,5%,2%,2%,3092
ECCO Men's Street Tray Gore-tex Sneaker,56%,13%,9%,5%,17%,53
MEHOTO Mens Air Running Sneakers Men Sport Fitness Gym Jogging Walking Lightweight Shoes Size 7-12.5,64%,16%,7%,4%,9%,3804
BomKinta Men's Road Running Shoes Breathable Gym Sneakers Fashion Walking Athletic Shoes,62%,18%,11%,4%,4%,210
YDB Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,61%,20%,9%,4%,7%,1844
Skechers Men's Go Walk Max-athletic Air Mesh Slip on Walking Shoe,72%,15%,6%,2%,4%,20753
Reebok Men's Bb4500 Hi 2 Sneaker,73%,15%,6%,2%,4%,8113
PUMA Suede Suede Classic + LFS Sneaker,55%,12%,7%,5%,21%,4627
PUMA Unisex-Baby Carson 2 Hook and Loop Sneaker,67%,15%,7%,6%,5%,101
New Balance Men's 577 V1 Lace-up Walking Shoe,69%,16%,7%,4%,5%,9105
Reebok Unisex-Adult Royal Cl Jogger 3 Sneaker,60%,23%,9%,2%,6%,61
Vans Men's Asher (Canvas) Skate Shoe,81%,10%,4%,1%,4%,1659
PUMA Men's Cell Surin 2.0 FM Sneaker,74%,14%,6%,2%,4%,5083
New Balance Men's 574 V2 Evergreen Sneaker,78%,11%,5%,2%,3%,7465
Nike Men's Low-Top Sneakers,76%,12%,5%,2%,5%,1480
Polo Ralph Lauren Men's Faxon Low Sneaker,74%,14%,6%,2%,3%,7423
ECCO Men's Soft Classic Sneaker,70%,16%,6%,3%,6%,690
Nike Men's Training Basketball Shoe,79%,12%,3%,2%,4%,737
MUK LUKS Men's Kadin Shoes Fashion Sneaker,62%,8%,19%,0%,11%,18
adidas Originals Men's X_PLR Sneaker,83%,11%,3%,1%,2%,1670
Nike Mens KD Trey 5 VIII Basketball Shoes,84%,9%,4%,1%,2%,342
Converse Unisex-Adult Chuck Taylor All Star 2018 Seasonal High Top Sneaker,82%,9%,4%,1%,4%,30941
adidas Originals Superstar Mens Casual Classic Sneaker Fy2826,81%,13%,6%,0%,0%,51
adidas Men's Hoops Mid 2.0 Basketball Shoe Black/White/Black 8,77%,13%,5%,3%,2%,118
adidas Men's Strutter,67%,16%,10%,4%,3%,1753
Nike Men's Air Monarch Iv (4e) Cross Trainer,78%,13%,4%,2%,3%,3422
PUMA Unisex-Adult Future Rider Pride Sneaker,77%,9%,4%,3%,7%,82
Nike Mens Tanjun Running Sneaker Black/Anthracite/Black 9,75%,16%,5%,1%,4%,319
Nike Air Huarache,80%,11%,3%,2%,4%,2303
FZUU Men's Fashion High Top Leather Street Sneakers Sports Casual Shoes,57%,15%,11%,6%,11%,1818
SKDOIUL Sports Sneakers for Men Mesh Breathable Fashion Youth Big Boys Trail Walking Shoes Black White Red,65%,16%,9%,4%,7%,3180
BomKinta Men's Road Running Shoes Breathable Gym Sneakers Fashion Walking Athletic Shoes,62%,18%,11%,4%,4%,210
KUXIE Mens Running Shoes Athletic Casual Walking Shoes Fashion Sneakers,59%,14%,11%,6%,10%,431
FZUU Men's Fashion High Top Leather Street Sneakers Sports Casual Shoes,57%,15%,11%,6%,11%,1818
AX BOXING Mens Casual Shoes Fashion Sneakers Breathable Comfort Walking Shoes for Male,64%,20%,9%,3%,4%,1075
TIAMOU Men Running Walking Shoes Sport Athletic Wihte Jogging Sneakers,63%,16%,9%,4%,8%,5782
Skechers Men's Equalizer 2.0 True Balance Sneaker,73%,16%,6%,2%,3%,6342
Nautica Mens High-Top Sock Sneaker with Extra Ankle Support (Slip-On/Lace-up),72%,13%,5%,4%,6%,210
Skechers Men's Afterburn M. Fit Strike on,71%,16%,7%,2%,4%,6972
K-Swiss Men's Court Casal SDE Sneaker,68%,17%,5%,2%,9%,74
Skechers Men's Energy Afterburn Lace-Up Sneaker,73%,15%,6%,2%,4%,17962
