name,5,4,3,2,1,total
"2021 HP 15 Laptop Newest AMD Ryzen 5 5500U(Beat i7-1065G7) 16GB RAM 1TB SSD 15.6"" FHD Display Webcam for Zoom HDMI Wi-Fi Lightweight Thin Design Win 10-Free Windows 11 Upgrade| VAATE Bundle",60%,20%,0%,20%,0%,6
"Newest HP 17.3"" HD+ Touchscreen Laptop Intel Quad-Core i5-1035G1 Processor 16GB Memory 512GB SSD DVD-RW Webcam Numeric Keypad WiFi HDMI Windows 10 Silver",59%,24%,11%,0%,5%,30
"Lenovo IdeaPad 3 14"" Laptop Intel Core i3-1005G1 Processor 4GB DDR4 RAM 128GB M.2 SSD Storage 14.0"" FHD (1920 x 1080) Display Integrated Graphics Windows 10 S 81WD010QUS Platinum Grey",56%,26%,11%,3%,4%,40
"Lenovo Legion 5 15 Gaming Laptop 15.6"" FHD (1920 x 1080) Display AMD Ryzen 7 5800H Processor 16GB DDR4 RAM 512GB NVMe SSD NVIDIA GeForce RTX 3050Ti Windows 10H 82JW0012US Phantom Blue",77%,14%,3%,1%,5%,558
ASUS VivoBook F512 Thin and Lightweight Laptop 15.6” FHD WideView NanoEdge  AMD R5-3500U CPU 8GB RAM 256GB SSD Backlit KB Fingerprint Reader Windows 10 Peacock Blue F512DA-EB51,76%,15%,4%,2%,4%,"3,687"
"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",81%,12%,2%,1%,4%,"4,414"
HP Stream 14 inches HD(1366x768) Display Intel Celeron N4000 Dual-Core Processor 4GB RAM 64GB eMMC HDMI WiFi Webcam Bluetooth Win10 S Royal Blue(Renewed),74%,11%,8%,2%,5%,604
TOPOSH 14 Inch Laptop Windows 10 Pro PC 6GB RAM+128GB SSD Intel Celeron J3455 Quad Core WiFi Bluetooth- Silver Gray,100%,0%,0%,0%,0%,1
HP ProBook 6570b Notebook PC - Intel Core i5-3320M 2.6Ghz 8GB 320GB DVDRW Windows 10 Professional (Renewed),39%,36%,0%,0%,25%,12
"2021 HP Newest Premium Laptop Computer 17.3"" Full HD 1080P IPS Screen 11th Gen Intel Core i5-1135G7(Beat i7-1065G7) 16GB RAM 1TB SSD HDMI Wi-Fi Webcam Zoom Windows 10 | VAATE HDMI Cable",69%,20%,0%,4%,7%,37
Lenovo Chromebook S330 Laptop 14-Inch FHD (1920 x 1080) Display MediaTek MT8173C Processor 4GB LPDDR3 64GB eMMC Chrome OS 81JW0000US Business Black,65%,17%,8%,3%,7%,"2,504"
Windows 10 Pro Laptop BiTECOOL 2021 New 14 inches HD Clear Display Pc Laptops with Intel Celeron Dual Core 6GB LPDDR4 2.4G WiFi BT4.0 and Long Lasting Battery Mic (120GB SSD J4005),75%,13%,0%,0%,11%,49
"2021 Newest Lenovo Ideapad 3 15.6"" Premium FHD Laptop 6-core AMD Ryzen 5 5500U(up to 4.0GHz) 20GB RAM 512GB NVMe SSD AMD Radeon 7 up to 12 Hours Webcam HDMI Win 10 w/GM Accessories",70%,18%,6%,2%,4%,158
"Lenovo IdeaPad 5 15.6"" FHD IPS Touchscreen Laptop | 11th Gen Intel Core i7-1165G7 | 12GB RAM | 512GB SSD | Backlit Keyboard | Fingerprint Reader | Windows 10",78%,8%,3%,5%,5%,116
ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop 15.6” 144Hz FHD GeForce RTX 3050 Ti Intel Core i7-11370H 8GB DDR4 512GB PCIe NVMe SSD Wi-Fi 6 Windows 10 Eclipse Grey Color TUF516PE-AB73,73%,14%,4%,3%,6%,500
"TECLAST 15.6"" Traditional Laptop Computers 6GB+128GB SSD Thin Bezel Laptop Computer Quad Core Intel J3455 1920x1080 FHD Windows 10 Laptop Full Size Keyboard 2.4G+5G WiFi Bluetooth USB3.0 TF Expand",58%,10%,8%,7%,17%,68
